convolution_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.6489621107501672,0.4394062008037191,0.25,45.75,34.95542274021827,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.8161840023810024,0.2853262381249841,0.15,52.65,23.40102336943498,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.9109636663287871,0.18660305490957962,0.4,162.8,97.5772838102674,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.9085444869530167,0.18778527888447066,0.4,132.9,68.90412866707206,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.8732862673955161,0.17642126850199258,0.3,133.9,65.6424926560933,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.9337023093020457,0.08244210604947382,0.45,119.9,51.323432629181234,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.9098215114112466,0.13837898179856017,0.3,136.55,47.93907866404918,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.8948043150128334,0.13301843210541955,0.25,111.65,49.26862458422249,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.9342196406774053,0.05876941906316996,0.3,181.5,98.0485916053335,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.9136006342484806,0.05800396106992493,0.15,175.65,91.0467057700549,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.9553369648432316,0.046165045400226985,0.5,141.45,81.34234024042752,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.9332970412778414,0.03614908396351418,0.2,153.35,84.68596789253067,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.9276859778929591,0.04393686988655717,0.2,167.95,69.70726383655399,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.9267204952010544,0.04256231165753053,0.2,161.45,61.531741915517834,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.8838503431046566,0.09299592729848627,0.05,396.05,17.66493702224834,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.8910477396784292,0.06776170776699901,0.0,400,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.9281190006455823,0.03294564539944295,0.1,379.5,66.84349356204348,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.9062893096785287,0.043673950638494,0.05,391.2,39.354796403996296,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.9021477012252647,0.05112051701143851,0.05,391.9,36.2243012354966,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.8940566520598247,0.06230346802683738,0.15,359,106.64599580412117,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.9259522796550378,0.045956046845225355,0.2,346.2,119.85368272672265,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.9345219187076174,0.03870732951275527,0.2,378.05,67.09967056158834,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.9223302316514027,0.026782681989784715,0.1,372.65,86.98352838627734,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.9332139890105746,0.032673400596122046,0.15,360.45,104.79477437755237,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.9200981475322331,0.03981189551317778,0.1,377.65,86.27817617573129,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.9248258851100182,0.03423091559681403,0.15,371.35,73.21940711961118,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.9008646050778913,0.21600883520184025,0.35,168.8,106.61174024419044,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.9014688642205602,0.15489196530403795,0.35,169.2,79.0140560446784,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.9448995280399544,0.043528242863710154,0.35,128.7,65.81721099498135,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.9417824304672981,0.044137220279035105,0.35,151.2,61.49591342862591,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.8881514716223649,0.13987614633815876,0.15,127.15,54.79365599083625,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.9007327669649142,0.12451774474316313,0.15,142.3,57.898368307160254,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.8703573165360643,0.2123586029709743,0.1,85.3,41.56174860816639,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.938968989118264,0.05224351175196177,0.35,87.15,49.53921891316329,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.753908256888738,0.306454086349263,0.15,79.15,43.293703200836326,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.8322971731166989,0.1967811622114031,0.15,75.35,33.504555856747224,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.7868647758978491,0.24919653973498504,0.2,78.8,37.791115636517425,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.7874769605804773,0.19456599782990308,0.15,78.15,37.435242331539044,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.597850507149221,0.45106922978621106,0.1,42.5,32.88816776513049,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.7937792000808739,0.34460893146065613,0.25,64.15,40.45436024902501,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.6437792157631037,0.43340911715668373,0.1,51.55,34.2490491608315,method=Powell; iterations=1000000; temperature=0.25
